IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
1.0.0.219,4,1,0.75,188.49,0.00,N/A
185.18.250.81,4,1,0.75,188.65,0.00,N/A
104.27.196.58,4,1,0.75,188.76,0.00,N/A
1.0.0.244,4,1,0.75,189.62,0.00,N/A
172.64.53.127,4,1,0.75,189.91,0.00,N/A
104.16.108.8,4,1,0.75,189.96,0.00,N/A
147.78.140.146,4,1,0.75,189.96,0.00,N/A
172.67.176.59,4,1,0.75,189.96,0.00,N/A
104.19.86.26,4,1,0.75,189.96,0.00,N/A
104.24.232.197,4,1,0.75,189.96,0.00,N/A
104.27.204.78,4,1,0.75,189.96,0.00,N/A
104.19.192.207,4,1,0.75,189.96,0.00,N/A
162.159.20.0,4,1,0.75,189.96,0.00,N/A
104.18.221.9,4,1,0.75,189.96,0.00,N/A
188.42.145.192,4,1,0.75,189.96,0.00,N/A
1.0.0.139,4,1,0.75,189.96,0.00,N/A
162.159.36.159,4,1,0.75,189.96,0.00,N/A
104.16.126.24,4,1,0.75,189.96,0.00,N/A
104.25.122.121,4,1,0.75,189.98,0.00,N/A
1.0.0.152,4,1,0.75,189.99,0.00,N/A
1.0.0.154,4,1,0.75,189.99,0.00,N/A
1.0.0.153,4,1,0.75,189.99,0.00,N/A
1.0.0.9,4,1,0.75,189.99,0.00,N/A
1.0.0.172,4,1,0.75,189.99,0.00,N/A
104.25.115.237,4,1,0.75,189.99,0.00,N/A
188.114.96.68,4,1,0.75,189.99,0.00,N/A
104.16.213.7,4,1,0.75,189.99,0.00,N/A
104.16.226.157,4,1,0.75,189.99,0.00,N/A
104.19.91.201,4,1,0.75,189.99,0.00,N/A
104.18.219.47,4,1,0.75,189.99,0.00,N/A
104.19.90.89,4,1,0.75,189.99,0.00,N/A
104.25.133.237,4,1,0.75,189.99,0.00,N/A
172.67.184.15,4,1,0.75,189.99,0.00,N/A
104.16.210.149,4,1,0.75,189.99,0.00,N/A
104.19.200.48,4,1,0.75,190.00,0.00,N/A
104.27.197.28,4,1,0.75,190.00,0.00,N/A
172.67.183.218,4,1,0.75,190.00,0.00,N/A
1.0.0.213,4,1,0.75,190.00,0.00,N/A
1.0.0.125,4,1,0.75,190.00,0.00,N/A
1.0.0.135,4,1,0.75,190.00,0.00,N/A
1.0.0.130,4,1,0.75,190.00,0.00,N/A
1.0.0.89,4,1,0.75,190.00,0.00,N/A
1.0.0.107,4,1,0.75,190.00,0.00,N/A
